case_id,judge_id
32044046873683_0330,1745
32044049817315_0222,1091
32044049817315_0189,
32044049817315_0428,
32044046873683_0475,192
32044049817315_0203,192
32044049817315_0257,
32044046873683_0176,
32044049817315_0365,
32044046873683_0493,
32044049817315_0537,164
32044046873683_0527,650
32044046873683_0536,621
32044046873683_0434,
32044046873683_0601,
32044049817315_0186,284
32044049817315_0331,1498
32044049817315_0499,
32044046873683_0384,1581
32044046873683_0615,2604
32044046873683_0383,
32044046873683_0420,
32044049817315_0325,154
32044049817315_0184,2645
32044049817315_0069,
32044046873683_0335,2645
32044049817315_0028,
32044046873683_0255,1065
32044049817315_0178,2510
32044049817315_0201,1188
32044046873683_0576,621
32044046873683_0307,751
32044046873683_0186,621
32044046873683_0377,547
32044049817315_0236,947
32044049817315_0130,2650
32044049817315_0207,1046
32044046873683_0049,2302
32044046873683_0498,2813
32044046873683_0050,650
32044049817315_0449,2408
32044046873683_0111,424
32044049817315_0364,1667
32044049817315_0476,1046
32044046873683_0195,
32044046873683_0633,
32044049817315_0290,750
32044049817315_0056,2645
32044046873683_0138,2510
32044046873683_0543,2816
32044046873683_0559,2302
32044046873683_0122,2485
32044046873683_0645,2474
32044046873683_0318,164
32044046873683_0252,192
32044049817315_0066,
32044049817315_0351,
32044046873683_0326,650
32044046873683_0123,346
32044046873683_0444,2510
32044046873683_0610,2510
32044046873683_0225,1408
32044046873683_0595,2641
32044046873683_0509,2180
32044046873683_0100,2818
32044046873683_0513,621
32044049817315_0138,2813
32044046873683_0134,
32044049817315_0539,1643
32044046873683_0621,
32044049817315_0377,2256
32044046873683_0511,
32044049817315_0045,2302
32044049817315_0405,2641
32044049817315_0308,2641
32044046873683_0467,2510
32044046873683_0404,707
32044049817315_0175,460
32044046873683_0140,1643
32044046873683_0406,
32044046873683_0491,1177
32044049817315_0492,
32044049817315_0155,
32044046873683_0151,
32044046873683_0013,192
32044046873683_0064,1568
32044046873683_0557,197
32044046873683_0416,1430
32044046873683_0415,164
32044049817315_0289,206
32044046873683_0538,
32044046873683_0436,
32044049817315_0225,
32044046873683_0127,336
32044046873683_0390,1065
32044046873683_0087,
